"","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","sub_grp9","year"
"jamesmi01MIA2002-03",-0.134734556027871,0.306266527163526,-0.889103753149061,1.03709751485456,1.44356065983482,0.41158567715991,-0.637652740409774,-0.608148170582477,-0.333531033456418,-0.158905193150753,-0.173867050068275,0.0709799163463323,-1.14073218397147,-1.06655457158513,-1.19844969571923,1.12191802538154,0.276679063062723,-0.836927573730882,0.222756514086924,0.0127819685277158,0.00982157204381689,4,2003
"jamisan01GSW2002-03",1.92715482041709,1.63833695839787,0.671724671551197,0.0786940125398585,0.195088378859022,0.491876775530212,1.889341453066,1.59202722934245,0.790858652485783,1.32930974489131,1.14983537906714,0.444014392689532,0.253049070533386,-0.0496169404943945,0.0846462410160729,-0.63056706536043,-0.654285079947068,-0.336466516718214,-0.160134200889797,-1.06695800447144,1.84589108607417,2,2003
"jaricma01LAC2002-03",-0.0682219954973875,0.115970751272906,-0.438555341895378,1.03709751485456,1.19386620363966,0.529660821822118,-0.571152893213044,-0.674820152398384,0.0823391243578209,-0.233315940052857,-0.346523888651155,0.201869206291315,-0.812783653499739,-0.647815547018357,-0.783330422069575,1.07037434624207,2.51099300628622,-0.586697045224548,0.73327746738922,-0.275148690938725,0.0339803814389535,6,2003
"jeffech01TOR2002-03",-0.467297358680284,-0.232904837859899,-0.663829547522219,0.48943837067473,0.494721726293213,0.595782902832955,-0.704152587606505,-0.574812179674524,-0.579972608457449,-0.605369674563374,-0.576733006761663,-0.308599024494116,-0.812783653499739,-1.24601415354232,-1.1607115799329,-0.888285461057779,-0.281899422743152,0.163994540294455,0.350386752412498,-0.491096685538555,-0.497513425254044,6,2003
"jefferi01NJN2002-03",0.59690360980744,0.0525388259760323,1.17054612686778,-0.742794703729885,-0.803689445921616,0.203773422554424,0.958343592311767,0.591947502103845,0.960287235298992,1.25489899798921,1.2649399381224,0.142969025816073,0.00708767267958749,0.129842641462794,0.0469081252297406,-0.218217632244671,-0.281899422743152,-0.211351252465046,-0.160134200889797,-0.707044680138385,0.686268235107632,1,2003
"jeffrja01WAS2002-03",-0.733347600802215,-1.08923582936769,0.768270759676986,-0.332050345595013,-0.603933880965488,1.38452486917651,-0.571152893213044,-0.774828125122244,0.452001486859366,-0.30772668695496,0.171446627097487,-1.10702369315851,1.07292039671271,-0.28889638310398,0.348813051520401,-0.475936027942021,-0.281899422743152,-0.211351252465046,0.605647229063646,-0.131183361205505,-0.71494270981027,5,2003
"johnsan02NJN2002-03",-0.267759677088836,-0.423200613750519,0.285540319048041,-0.0582207735050987,-0.204422751053233,0.775257122719511,-0.238653657229389,-0.308124252410896,0.220962510295901,-0.158905193150753,-0.0587624910130209,-0.21043205703538,-1.05874505135354,-0.946914850280339,-1.12297346414657,0.400306517428967,0.835257548868598,-0.711812309477715,-0.415394677540944,0.228729963127546,-0.280084140697818,6,2003
"johnsav01DAL2002-03",0.330853367685509,0.433130377757273,-0.132826062830379,-0.879709489774842,-0.853628337160648,-0.976978024067658,0.758844050721574,1.02531538390724,-0.287323238143725,0.0643270475555567,-0.00121021148539413,0.31312510274455,-0.894770786117671,-1.5451134568043,-1.38714027465089,1.27654906279995,0.276679063062723,-0.836927573730882,0.350386752412498,-1.06695800447144,0.106456809624362,6,2003
"johnser02MIL2002-03",-1.9305736903509,-2.23101048471142,0.38208640717383,-0.879709489774842,-0.953506119638711,-1.44927860271649,-1.50215075396728,-1.70823587054494,0.11314432123295,-1.1262449028781,-1.09470352251031,-0.256243308516123,1.40086892718444,0.608401526681965,1.02809913567439,-1.14600385675513,-0.281899422743152,1.41514718282613,-1.43643658414553,1.3084699361267,-1.92288317956708,5,2003
"johnsjo02PHO2002-03",0.131315686094061,0.46484634040571,-0.502919400645904,0.763267942764645,0.69447729124934,0.75164209378707,-0.238653657229389,0.0252356566686376,-0.564570010019885,-0.679780421465477,-0.749389845344544,0.345847425230795,-0.812783653499739,-0.647815547018357,-0.783330422069575,0.245675480010557,-0.281899422743152,-0.586697045224548,-0.543024915866518,-0.994975339604826,0.0339803814389535,6,2003
"johnske03MIA2002-03",-0.86637272186318,-0.867224090828634,-0.374191283144852,-0.879709489774842,-0.953506119638711,-1.44927860271649,-0.438153198819582,-0.274788261502943,-0.610777805332577,-1.42388789048651,-1.09470352251031,-2.54026141805606,-0.812783653499739,1.26641999385832,0.424289283093066,-1.50680961073142,-1.77144205155882,2.54118456110463,-0.92591563084324,0.660625952327206,-1.2705953258984,5,2003
"jonesda01SAC2002-03",-0.467297358680284,-0.169472912563025,-0.760375635648009,2.13241580321422,2.09276624594223,0.742196082214093,-1.56865060116401,-1.60822789782108,-0.626180403770142,-1.05183415597599,-1.09470352251031,0.129880096821574,-1.05874505135354,-0.827275128975546,-1.00975911678757,0.606481233986846,-0.46809225134511,-0.711812309477715,-1.18117610749439,-1.13894066933805,-0.304242950092954,4,2003
"jonesed02MIA2002-03",0.729928730868405,0.813721929538515,-0.0845530187674846,1.8585862311243,1.44356065983482,0.945285331033091,-0.172153810032658,-0.108108306963176,-0.194907647518339,1.0316667572829,0.746969422373756,0.659981721098752,-0.976757918735604,-0.348716243756376,-0.670116074710577,0.297219159150027,0.276679063062723,-0.211351252465046,-0.543024915866518,-0.635062015271775,1.16944442301036,3,2003
"jonesfr01IND2002-03",-1.33196064557656,-1.184383717313,-0.856921723773798,-0.0582207735050987,0.14514948761999,0.373801630868004,-1.30265121237708,-1.34153997055745,-0.502959616269627,-1.1262449028781,-1.15225580203793,0.188780277296816,-0.484835123028008,-1.66475317810909,-1.31166404307823,-0.6821107444999,1.39383603467447,-0.586697045224548,-0.287764439215371,0.300712627994156,-1.31891294468868,9,2003
"jonesju01CLE2002-03",0.131315686094061,0.115970751272906,0.0924481427964624,1.58475665903439,1.59337733355191,0.69496602434921,-0.637652740409774,-0.941508079662011,0.806261250923348,-1.1262449028781,-1.09470352251031,-0.223520986029877,-0.156886592556278,0.309302223419984,0.122384356802405,-0.57902338622096,-0.0957065941411934,-0.461581780971381,-0.543024915866518,-0.563079350405165,0.0339803814389535,3,2003
"jonespo01DAL2002-03",-0.60032247974125,-0.359768688453646,-0.663829547522219,-0.879709489774842,-0.953506119638711,-1.44927860271649,-0.172153810032658,0.258587593024311,-0.888024577208737,-1.2006556497802,-0.864494404399798,-1.74183674939167,2.3027273859817,0.309302223419984,1.25452783039238,-0.836741781918309,-0.654285079947068,-0.711812309477715,0.350386752412498,0.948556611793647,-0.980689613156769,5,2003
"jordami01WAS2002-03",2.19320506253902,2.1775083234213,0.269449304360409,-0.605879917684928,-0.603933880965488,0.397416659800445,2.48784007783658,2.72545092021286,0.0823391243578209,0.58520227587028,0.286551186152741,0.653437256601503,-0.894770786117671,0.428941944724776,-0.141782453701922,0.400306517428967,0.64906472026664,-0.336466516718214,-0.032503962564223,-1.21092333420466,1.65262061091308,2,2003
"kempsh01ORL2002-03",-0.0682219954973875,-0.0426090619692783,-0.165008092205642,-0.879709489774842,-0.953506119638711,-0.976978024067658,0.359844967541189,0.591947502103845,-0.395141427206676,0.0643270475555567,0.0563420680422328,0.136424561318823,1.07292039671271,1.38605971516312,1.36774217775138,-0.888285461057779,0.64906472026664,-0.0862359882118792,0.0951262757613509,1.16450460639348,-0.207607712512409,1,2003
"kerrst01SAS2002-03",-0.400784798149801,-0.486632539047393,0.0280840840459362,1.72167144507935,1.39362176859579,0.888609261595231,-1.23615136518035,-1.44154794328131,0.267170305608594,-0.97742340907389,-1.15225580203793,1.0526495909337,-1.14073218397147,-1.5451134568043,-1.50035462200989,-0.166673953105201,-0.281899422743152,-0.836927573730882,-1.05354586916881,-1.28290599907127,-0.32840175948809,4,2003
"kiddja01NJN2002-03",0.929466412459854,1.19431348131976,-0.229372150956169,1.17401230089952,1.29374398611772,0.633566949124862,0.359844967541189,0.391931556656125,0.0053261321699988,1.25489899798921,0.919626260956637,0.784326546546485,-0.484835123028008,0.189662502115191,-0.0663062221292572,2.92594679526299,1.95241452048035,-0.586697045224548,1.88194961231938,-1.57083665853771,1.29023846998604,7,2003
