"","ranker","lineup","team_id","season","g","mp","poss","opp_poss","pace","fg","fga","fg_pct","fg3","fg3a","fg3_pct","efg_pct","ft","fta","ft_pct","pts","ast","stl","blk","tov","pf","diff_fg","diff_fga","diff_fg_pct","diff_fg3","diff_fg3a","diff_fg3_pct","diff_efg_pct","diff_ft","diff_fta","diff_ft_pct","diff_pts","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"34","31","J. Butler†|†P. Gasol†|†T. Gibson†|†D. Rose†|†T. Snell","CHI","2015-16","22","219.5","422","427","92.8","35.4","84.4",".420","3.3","15.1",".217",".439","14.7","17.5",".838","88.8","18.4","6.6","6.8","12.0","13.6","-1.1","-12.5","+.043","-3.9","-8.5","-.088","+.025","+6.3","+2.6","+.279","+0.2","Jimmy Butler","Pau Gasol","Taj Gibson","Derrick Rose","Tony Snell","/players/b/butleji01.html","/players/g/gasolpa01.html","/players/g/gibsota01.html","/players/r/rosede01.html","/players/s/snellto01.html"
"35","32","R. Hollis-Jefferson†|†J. Jack†|†J. Johnson†|†B. Lopez†|†T. Young","BRK","2015-16","16","218.6","449","460","99.8","39.3","88.3",".445","4.2","11.6",".358",".469","16.2","20.6",".787","99.0","21.1","9.9","4.8","16.2","16.9","+0.7","+1.3","+.001","-5.7","-16.0","+.001","-0.032","+4.8","+3.3","+.129","+0.4","Rondae Hollis-Jefferson","Jarrett Jack","Joe Johnson","Brook Lopez","Thaddeus Young","/players/h/holliro01.html","/players/j/jackja01.html","/players/j/johnsjo02.html","/players/l/lopezbr01.html","/players/y/youngth01.html"
"36","33","B. Biyombo†|†D. DeRozan†|†C. Joseph†|†P. Patterson†|†T. Ross","TOR","2015-16","54","217.0","429","428","94.8","34.5","81.0",".426","6.6","21.0",".316",".467","25.7","31.9",".806","101.3","15.7","7.5","5.3","11.1","18.1","+2.2","-1.3","+.034","+0.7","-0.4","+.037","+.038","+7.7","+9.3","+.011","+12.8","Bismack Biyombo","DeMar DeRozan","Cory Joseph","Patrick Patterson","Terrence Ross","/players/b/biyombi01.html","/players/d/derozde01.html","/players/j/josepco01.html","/players/p/pattepa01.html","/players/r/rosste01.html"
"37","34","J. Butler†|†P. Gasol†|†N. Mirotic†|†D. Rose†|†T. Snell","CHI","2015-16","26","202.3","419","404","97.7","38.0","89.7",".423","9.3","23.5",".394",".475","17.3","21.4",".811","102.5","24.0","6.9","7.8","12.8","15.0","-4.5","-5.0","-.025","+4.3","+6.2","+.106",".000","+5.2","+3.6","+.131","+0.5","Jimmy Butler","Pau Gasol","Nikola Mirotiƒá","Derrick Rose","Tony Snell","/players/b/butleji01.html","/players/g/gasolpa01.html","/players/m/mirotni01.html","/players/r/rosede01.html","/players/s/snellto01.html"
"38","35","M. Dellavedova†|†L. James†|†K. Love†|†J. Smith†|†T. Thompson","CLE","2015-16","46","198.3","378","375","91.1","39.9","86.2",".463","12.8","31.5",".408",".538","21.3","28.1",".759","114.0","24.9","6.8","2.2","9.4","19.9","+6.5","+7.0","+.041","+6.8","+11.6","+.103","+.078","+5.6","+5.8","+.052","+25.4","Matthew Dellavedova","LeBron James","Kevin Love","J.R. Smith","Tristan Thompson","/players/d/dellama01.html","/players/j/jamesle01.html","/players/l/loveke01.html","/players/s/smithjr01.html","/players/t/thomptr01.html"
"39","36","B. Beal†|†M. Gortat†|†M. Morris†|†O. Porter†|†J. Wall","WAS","2015-16","18","197.1","408","403","98.8","42.6","89.9",".474","11.2","26.3",".426",".537","13.2","15.8",".831","109.6","28.7","8.3","3.9","15.1","17.5","+2.4","0.0","+.027","-0.2","-1.2","+.010","+.026","+2.9","+2.4","+.067","+7.6","Bradley Beal","Marcin Gortat","Markieff Morris","Otto Porter","John Wall","/players/b/bealbr01.html","/players/g/gortama01.html","/players/m/morrima02.html","/players/p/porteot01.html","/players/w/walljo01.html"
"40","37","L. Deng†|†G. Dragic†|†J. Johnson†|†A. Stoudemire†|†D. Wade","MIA","2015-16","16","196.6","378","376","92.1","45.9","81.8",".561","6.6","15.1",".435",".601","12.9","15.4",".841","111.3","26.4","6.3","5.9","13.4","21.0","+5.6","-2.0","+.080","+1.7","-0.5","+.123","+.091","-4.4","-7.6","+.086","+8.5","Luol Deng","Goran Dragiƒá","Joe Johnson","Amar'e Stoudemire","Dwyane Wade","/players/d/denglu01.html","/players/d/dragigo01.html","/players/j/johnsjo02.html","/players/s/stoudam01.html","/players/w/wadedw01.html"
"41","38","T. Ariza†|†P. Beverley†|†C. Capela†|†J. Harden†|†D. Howard","HOU","2015-16","22","196.0","374","377","91.9","37.2","80.8",".461","8.8","24.5",".360",".515","20.3","29.6",".686","103.6","20.6","9.3","5.6","17.1","17.9","+1.5","-0.7","+.022","-2.2","-3.7","-.031","+.009","+7.8","+13.5","-.087","+8.6","Trevor Ariza","Patrick Beverley","Clint Capela","James Harden","Dwight Howard","/players/a/arizatr01.html","/players/b/beverpa01.html","/players/c/capelca01.html","/players/h/hardeja01.html","/players/h/howardw01.html"
"42","39","A. Crabbe†|†E. Davis†|†G. Henderson†|†M. Leonard†|†C. McCollum","POR","2015-16","34","193.3","381","384","95.0","39.2","82.2",".477","9.7","26.8",".361",".536","14.2","18.9",".750","102.3","23.1","6.5","4.0","12.7","21.9","+2.0","+1.0","+.019","-1.2","+3.2","-.102","+.010","-2.0","-3.7","+.036","+0.7","Allen Crabbe","Ed Davis","Gerald Henderson","Meyers Leonard","CJ McCollum","/players/c/crabbal01.html","/players/d/davised01.html","/players/h/hendege02.html","/players/l/leoname01.html","/players/m/mccolcj01.html"
"43","40","K. Faried†|†G. Harris†|†N. Jokic†|†E. Mudiay†|†J. Sampson","DEN","2015-16","14","192.7","377","380","94.3","42.1","84.9",".496","10.0","22.9",".435",".554","14.4","18.4",".784","108.6","28.1","8.5","6.5","15.4","19.7","+5.0","+0.5","+.056","0.0","-2.0","+.035","+.056","-0.5","-1.0","+.015","+9.5","Kenneth Faried","Gary Harris","Nikola Jokiƒá","Emmanuel Mudiay","JaKarr Sampson","/players/f/farieke01.html","/players/h/harriga01.html","/players/j/jokicni01.html","/players/m/mudiaem01.html","/players/s/sampsja02.html"
